,Image_ID,class,confidence,ymin,xmin,ymax,xmax
0,ID_37O2O3JS,fruit_brownspot,0.924253,124.99967999999998,189.99987199999998,401.999872,404.0
1,ID_SGXSO873,fruit_brownspot,0.372509,169.000192,106.99980800000003,378.000128,476.99968
2,ID_SGXSO873,fruit_brownspot,0.38071,214.99980800000003,2.5600000000736145e-05,372.0,44.0000256
3,ID_SGXSO873,fruit_healthy,0.488137,169.99987199999998,109.99987199999998,377.999872,471.99974399999996
4,ID_ZMZZDDAY,fruit_brownspot,0.577205,189.99987199999998,108.999936,420.0,282.000128
5,ID_ZMZZDDAY,fruit_woodiness,0.766356,191.00032,110.000128,418.000128,280.999936
6,ID_J1YANQKB,fruit_woodiness,0.965,119.00006399999998,205.99987199999998,410.99980800000003,416.99968
7,ID_A247GOXL,fruit_healthy,0.974694,146.99980800000003,111.99974399999999,392.0,382.99980800000003
8,ID_FRDZ97NV,fruit_brownspot,0.676368,128.999936,113.99987199999998,351.000064,497.999872
9,ID_ZZI6IV38,fruit_healthy,0.965445,165.99987200000004,81.99987200000001,355.000064,314.99980800000003
10,ID_905JQT7P,fruit_woodiness,0.912203,248.99968,0.0,462.99980800000003,106.999808
11,ID_905JQT7P,fruit_brownspot,0.929922,96.99993599999999,198.00012800000002,336.999936,404.00025600000004
12,ID_GXCLBQP8,fruit_brownspot,0.906168,94.00012800000002,182.00012800000002,360.999936,404.00025600000004
13,ID_M9M1FEL7,fruit_healthy,0.89094,1.0001919999999984,168.999936,114.000128,289.999872
14,ID_S1IVUVWU,fruit_woodiness,0.307564,-0.0002559999999931506,0.9999360000000053,135.99974400000002,192.999936
15,ID_S1IVUVWU,fruit_healthy,0.522218,1.0001919999999984,1.0001919999999984,132.0,196.0
16,ID_S1IVUVWU,fruit_healthy,0.971143,182.99980799999997,92.99993600000002,428.999936,390.99980800000003
17,ID_D7T3YRKS,fruit_healthy,0.976051,175.000064,135.000064,365.000192,357.00019199999997
18,ID_D7STMIYY,fruit_woodiness,0.932937,139.99974400000002,35.00031999999999,352.999936,375.000064
19,ID_BTUHH83G,fruit_woodiness,0.942425,89.99987200000001,163.000064,411.99974399999996,379.000064
20,ID_BSNFDTD3,fruit_brownspot,0.277059,453.00019199999997,0.0,512.0,179.999744
21,ID_BSNFDTD3,fruit_brownspot,0.874278,130.99980799999997,150.99980800000003,498.999808,432.99968
22,ID_6AV7ZZVH,fruit_brownspot,0.829415,147.000064,220.99968,368.000256,401.999872
23,ID_XLP4MSQW,fruit_brownspot,0.920137,44.999679999999984,186.99980800000003,321.999872,396.99968
24,ID_23937TJW,fruit_brownspot,0.83253,210.999808,104.00000000000001,363.99974399999996,299.999744
25,ID_256YTQEY,fruit_healthy,0.359088,310.00012799999996,165.000192,383.000064,263.000064
26,ID_256YTQEY,fruit_healthy,0.907024,-5.1199999997919576e-05,0.0,62.0000768,129.999872
27,ID_256YTQEY,fruit_healthy,0.970743,118.000128,117.000192,312.0,357.00019199999997
28,ID_LZVTV3O0,fruit_healthy,0.982308,128.99968,38.00012799999999,381.999872,342.000128
29,ID_D5DQ3N77,fruit_brownspot,0.674815,2.0001280000000037,433.000192,138.00012800000002,512.000256
30,ID_D5DQ3N77,fruit_woodiness,0.966251,123.000064,76.99968,253.99987199999998,312.999936
31,ID_YNM7G2OU,fruit_healthy,0.969585,177.999872,94.000128,360.99993600000005,337.999872
32,ID_W3GDSS9L,fruit_healthy,0.476467,-0.00010239999999939187,352.0,61.000089599999995,496.0
33,ID_W3GDSS9L,fruit_healthy,0.617817,218.99980799999997,0.0,407.000064,56.0
34,ID_W3GDSS9L,fruit_healthy,0.97667,179.000064,135.999744,368.000256,374.99980800000003
35,ID_ENH8X5NA,fruit_brownspot,0.315703,238.999808,1.000140799999997,511.99974399999996,68.9998848
36,ID_ENH8X5NA,fruit_brownspot,0.852352,76.99993600000002,187.99974399999996,351.99974399999996,392.0
37,ID_P78DB67S,fruit_brownspot,0.590461,185.999872,124.99967999999998,447.00006400000007,401.999872
38,ID_P78DB67S,fruit_woodiness,0.862,27.000063999999995,224.0,227.000064,497.999872
39,ID_Y0B7RHYU,fruit_healthy,0.884404,220.00025600000004,172.000256,384.0,373.00019199999997
40,ID_1O1SNW7P,fruit_brownspot,0.778738,91.99974399999999,156.000256,450.99980800000003,389.00019199999997
41,ID_1O1SNW7P,fruit_brownspot,0.882767,1.0001919999999984,64.00000000000001,119.00032,302.000128
42,ID_BRCXK5HY,fruit_healthy,0.398347,90.999808,3.9997439999999926,371.99974399999996,385.999872
43,ID_BRCXK5HY,fruit_woodiness,0.44642,92.0,3.9997439999999926,372.0,385.999872
44,ID_HP4JUAS0,fruit_healthy,0.952507,150.00012799999996,94.999808,386.000384,372.99993600000005
45,ID_4R4QCYW6,fruit_brownspot,0.33638,10.999808000000002,380.00025600000004,412.99968,512.0
46,ID_4R4QCYW6,fruit_brownspot,0.821916,-0.00025600000000736145,88.0,389.999872,404.000256
47,ID_6P649DXO,fruit_woodiness,0.94175,170.00012800000002,9.000191999999998,404.0,369.00019199999997
48,ID_MRYNE355,fruit_healthy,0.797672,169.999872,123.00006399999998,432.99993600000005,396.0
49,ID_MRYNE355,fruit_woodiness,0.833132,0.999935999999991,226.000128,210.999808,500.99993599999993
50,ID_TDNATB5X,fruit_healthy,0.587019,199.000064,115.00006400000001,412.000256,379.000064
51,ID_TDNATB5X,fruit_woodiness,0.619904,192.999936,116.0,418.999808,378.000128
52,ID_EU4K6HRZ,fruit_brownspot,0.531048,133.999872,265.00019199999997,342.99980800000003,424.00025600000004
53,ID_EU4K6HRZ,fruit_woodiness,0.592264,131.99974400000002,275.000064,344.999936,421.99987200000004
54,ID_EU4K6HRZ,fruit_brownspot,0.870659,216.99993600000002,63.00006400000001,512.0,294.000128
